Soil Sensor ,31002015300,"(3800.0, 2015.0, -300.0)"
Soil Sensor ,31002015300,"(3100.0, 2015.0, -300.0)"
Soil Sensor ,31002015490,"(3100.0, 2015.0, -300.0)"
Soil Sensor ,578,"(3100.0, 2015.0, -490.0)"
Soil Sensor ,31002015300,"(3100.0, 2015.0, -490.0)"
Soil Sensor ,24002015300,"(3100.0, 2015.0, -300.0)"
Soil Sensor ,24002015300,"(2400.0, 2015.0, -300.0)"
Soil Sensor ,24002015490,"(2400.0, 2015.0, -300.0)"
Soil Sensor ,650,"(2400.0, 2015.0, -490.0)"
Soil Sensor ,24002015300,"(2400.0, 2015.0, -490.0)"
Soil Sensor ,24001315300,"(2400.0, 2015.0, -300.0)"
Soil Sensor ,24001315300,"(2400.0, 1315.0, -300.0)"
Soil Sensor ,24001315490,"(2400.0, 1315.0, -300.0)"
Soil Sensor ,564,"(2400.0, 1315.0, -490.0)"
Soil Sensor ,24001315300,"(2400.0, 1315.0, -490.0)"
Soil Sensor ,17002015300,"(2400.0, 1315.0, -300.0)"
Soil Sensor ,17002015300,"(1700.0, 2015.0, -300.0)"
Soil Sensor ,17002015490,"(1700.0, 2015.0, -300.0)"
Soil Sensor ,585,"(1700.0, 2015.0, -490.0)"
Soil Sensor ,17002015300,"(1700.0, 2015.0, -490.0)"
Soil Sensor ,17001315300,"(1700.0, 2015.0, -300.0)"
Soil Sensor ,17001315300,"(1700.0, 1315.0, -300.0)"
Soil Sensor ,17001315490,"(1700.0, 1315.0, -300.0)"
Soil Sensor ,1022,"(1700.0, 1315.0, -490.0)"
Soil Sensor ,17001315300,"(1700.0, 1315.0, -490.0)"
Soil Sensor ,1700615300,"(1700.0, 1315.0, -300.0)"
Soil Sensor ,1700615300,"(1700.0, 615.0, -300.0)"
Soil Sensor ,1700615490,"(1700.0, 615.0, -300.0)"
Soil Sensor ,636,"(1700.0, 615.0, -490.0)"
Soil Sensor ,1700615300,"(1700.0, 615.0, -490.0)"
Soil Sensor ,10001315300,"(1700.0, 615.0, -300.0)"
Soil Sensor ,10001315300,"(1000.0, 1315.0, -300.0)"
Soil Sensor ,10001315490,"(1000.0, 1315.0, -300.0)"
Soil Sensor ,1009,"(1000.0, 1315.0, -490.0)"
Soil Sensor ,10001315300,"(1000.0, 1315.0, -490.0)"
Soil Sensor ,157613616371,"(1000.0, 1315.0, -300.0)"
Soil Sensor ,7613616371,"(157.4, 1361.6, -371.0)"
Soil Sensor ,7613616171,"(7.6, 1361.6, -371.0)"
